model,false_positive_rate,true_positive_rate,threshold
Regressão Logística,0.01948114219955156,0.07147632473912159,0.7062289821637532
Regressão Logística,0.020134166891191473,0.07325265561465893,0.7043418936908752
Regressão Logística,0.020805458007772365,0.07537779328030178,0.7021647009371368
Regressão Logística,0.02151328197423521,0.07706369276581176,0.7003967934107994
Regressão Logística,0.022166306665875123,0.07905964273141554,0.6984938832639359
Regressão Logística,0.022833031176220767,0.08087150022446363,0.6967013253840849
Regressão Logística,0.02350432229280166,0.08267043894750781,0.6947940109631522
Regressão Logística,0.02415278037820633,0.08460179506309204,0.6929693418867141
Regressão Logística,0.024819504888551974,0.08631676178111082,0.6912441806747708
Regressão Logística,0.025481662792662375,0.08801558003662471,0.6896287183680614
Regressão Logística,0.02613468748430229,0.09008581292975096,0.6877225657385687
Regressão Logística,0.02679227878217745,0.09222063967289675,0.6858874542517155
Regressão Logística,0.027445303473817365,0.09406156439845362,0.6842661085173098
Regressão Logística,0.02815769404651545,0.09582174681148607,0.6827127347250985
Regressão Logística,0.028806152131920122,0.09778862954458106,0.6811327180269872
Regressão Logística,0.029459176823560036,0.09976520135517897,0.679436279304139
Regressão Logística,0.03010306830272946,0.10167717931575734,0.6778058599565703
Regressão Logística,0.030801759056721816,0.1034954961938074,0.676310389398531
Regressão Logística,0.03149131659824368,0.10521369260432714,0.6749506353664385
Regressão Logística,0.03214890789611884,0.10720964256993092,0.6732435234123784
Regressão Logística,0.032806499193994,0.10911516114550733,0.6716935909406356
Regressão Logística,0.033523456372927335,0.11072354801099388,0.6702470268049766
Regressão Logística,0.03420844730821396,0.11247727103902437,0.6688662054937459
Regressão Logística,0.03484320557491289,0.1143117363795793,0.6673935803021749
Regressão Logística,0.03550079687278805,0.11648531943273681,0.665747558257448
Regressão Logística,0.0361675213831337,0.11840375677831713,0.6643234519750749
Regressão Logística,0.03683424589347934,0.12020592519386229,0.6629277575611716
Regressão Logística,0.03749640379758974,0.12184337929185762,0.6616487130961414
Regressão Logística,0.03822249418899357,0.12362293985989593,0.6602722820014864
Regressão Logística,0.03884811924322201,0.12538635196542938,0.6589358601257035
Regressão Logística,0.039473744297450465,0.12694952313590224,0.6577546777240421
Regressão Logística,0.04011763577661989,0.12871293524143565,0.6564045758329892
Regressão Logística,0.04079349349943603,0.13017275625187727,0.6552350125922594
Regressão Logística,0.04147848443472265,0.1317972915798687,0.6539963207956008
Regressão Logística,0.04214520894506829,0.13352517706789135,0.6527113952484339
Regressão Logística,0.0428073668491787,0.1352175359384033,0.6514494355082805
Regressão Logística,0.04348322457199483,0.13707137943396408,0.6502040916778608
Regressão Logística,0.04424128120704536,0.13881541338449166,0.648895721423893
Regressão Logística,0.04490800571739101,0.1404238002499782,0.6477609447053967
Regressão Logística,0.045588430046442384,0.14207417311797743,0.6465949703107408
Regressão Logística,0.046227754919376564,0.14361473644094347,0.6455165026815649
Regressão Logística,0.046940145492074654,0.1454039860864847,0.6442371107193196
Regressão Logística,0.04766166927724323,0.14703498079947808,0.6431012743408803
Regressão Logística,0.04833296039382412,0.14866920520497243,0.6419526032940736
Regressão Logística,0.04899968490416977,0.15016455283292476,0.6408864153188076
Regressão Logística,0.04969380905192688,0.151814925700924,0.6397948663420617
Regressão Logística,0.05036510016850777,0.15349436580143205,0.6386449763087597
Regressão Logística,0.05107749074120586,0.15520287313444886,0.6375513107509835
Regressão Logística,0.05176248167649248,0.15658518152486703,0.6365685528503778
Regressão Logística,0.05247030564295532,0.1582839997803809,0.6353946369582811
Regressão Logística,0.053100497303419016,0.1599149944933743,0.6343489644839809
Regressão Logística,0.05380832126988186,0.1616235018263911,0.6332350738826333
Regressão Logística,0.054507012023874216,0.16315760576435517,0.6321916436420244
Regressão Logística,0.05520113617163133,0.16482089740235834,0.6311416752781084
Regressão Logística,0.055913526744329416,0.16669411905292497,0.6299595971612524
Regressão Logística,0.05663505052949799,0.16828312776340565,0.6288856610223018
Regressão Logística,0.05732460807101986,0.16983015047137362,0.6279278917762424
Regressão Logística,0.05802329882501221,0.17126090424930643,0.6269623742515141
Regressão Logística,0.05869458994159311,0.17277563003226462,0.6259944373937081
Regressão Logística,0.059416113726761685,0.17421930258020135,0.6250425962269254
Regressão Logística,0.06008740484334257,0.1759374989907211,0.6239976052357954
Regressão Logística,0.0608454614783931,0.17745868415868124,0.6229855267210741
Regressão Logística,0.06152588580744448,0.1790089365591502,0.6220083261974253
Regressão Logística,0.06222914316767208,0.18040416371957227,0.6210553287416511
Regressão Logística,0.06291870070919395,0.1818736738075168,0.6201188430776972
Regressão Logística,0.0636584909193035,0.18348852005800528,0.6191271830709633
Regressão Logística,0.06434804846082537,0.18500324584096348,0.6180975065730199
Regressão Logística,0.06499650654623004,0.1865438091639295,0.6171788593298233
Regressão Logística,0.0656540978441052,0.18804238648438282,0.6162799136176056
Regressão Logística,0.06640758787292048,0.1894634511848127,0.6153488250477367
Regressão Logística,0.0671336782643243,0.1909103534252504,0.6144632255099651
Regressão Logística,0.06781410259337568,0.19247029490322226,0.6135243890713805
Regressão Logística,0.06848082710372133,0.19387844083364822,0.6126816336094274
Regressão Logística,0.06918408446394893,0.19532534307408592,0.6118256525858258
Regressão Logística,0.06989190843041176,0.19670119207950212,0.6109466234469538
Regressão Logística,0.07070476434028523,0.19837094310250722,0.6099559487275938
Regressão Logística,0.07149022061274722,0.19986629073045956,0.6090436794561254
Regressão Logística,0.07222087761038629,0.20137455712841582,0.6081177214851361
Regressão Logística,0.07293326818308438,0.20283760783135837,0.6072188488160276
Regressão Logística,0.07367305839319394,0.2043071179193029,0.6063537078536881
Regressão Logística,0.07445394805942068,0.2057249529272318,0.6054942770682781
Regressão Logística,0.07515720541964828,0.2071137207026519,0.6046881868140396
Regressão Logística,0.07583762974869966,0.20857677140559447,0.6038945295117648
Regressão Logística,0.07652718729022152,0.20994616102600872,0.60311271234509
Regressão Logística,0.07727154410656632,0.211447968038963,0.6022244924516403
Regressão Logística,0.07796566825432344,0.2128819515093968,0.6013776562404903
Regressão Logística,0.07865065918961006,0.21444512267986965,0.6005051205552967
Regressão Logística,0.07936304976230815,0.2159695375403308,0.5995580079194502
Regressão Logística,0.08005260730383001,0.2175811540983183,0.5986661670246936
Regressão Logística,0.08075586466405761,0.2191249471137853,0.5978092823238962
Regressão Logística,0.08145455541804997,0.22049756642670051,0.5970337758525828
