model,recall,precision,threshold
Regressão Logística,0.9569320504994719,0.6118865738589546,0.19158834914127768
Regressão Logística,0.9563280980017892,0.6121666322100475,0.19228749818992047
Regressão Logística,0.9557176861191046,0.6124431621800059,0.19302469214246315
Regressão Logística,0.95510727423642,0.612720296034775,0.1937952097370877
Regressão Logística,0.9545743749737587,0.6130490875677739,0.19454126581795506
Regressão Logística,0.9539381255510663,0.6133108799790694,0.1952713741463742
Regressão Logística,0.9533147948983777,0.6135815608733973,0.1959924810231941
Regressão Logística,0.9527851253282175,0.6139144621838947,0.1967546405188361
Regressão Logística,0.9521294977505191,0.6141706857220237,0.19745078140345387
Regressão Logística,0.9515772203328521,0.6144916533882822,0.19815230637090245
Regressão Logística,0.9509571193726646,0.6147656331558617,0.1988495957565969
Regressão Logística,0.9503660856449857,0.6150615983378691,0.1995081932198454
Regressão Logística,0.9497589034548021,0.6153451797043709,0.2002221525781301
Regressão Logística,0.9491129649546066,0.6156094066188208,0.20091424741716352
Regressão Logística,0.9485283906119298,0.6159127752250769,0.20158140533997346
Regressão Logística,0.9478792224192335,0.6161735344072861,0.20227911939543675
Regressão Logística,0.9472623511515469,0.6164545947513778,0.2029827950167127
Regressão Logística,0.9466390204988583,0.6167320701518132,0.20365486275972536
Regressão Logística,0.9460479867711795,0.6170299265475672,0.20436001756948582
Regressão Logística,0.945414967040988,0.6173062364112957,0.20502654160813621
Regressão Logística,0.9448013254658024,0.6175919201472749,0.20575561633119058
Regressão Logística,0.9441779948131138,0.6178718997347536,0.2064546738067446
Regressão Logística,0.9436031095479399,0.6181920899173106,0.20714238956060846
Regressão Logística,0.9429539413552436,0.6184616622994783,0.2077766423236032
Regressão Logística,0.942333840395056,0.6187443670409603,0.20841579412997252
Regressão Logística,0.9417524957448802,0.6190544935757535,0.20903971101158736
Regressão Logística,0.9411679214022033,0.619367138648836,0.20967945223491843
Regressão Logística,0.9404961453620001,0.6196190828795819,0.21030130131409844
Regressão Logística,0.9398825037868145,0.6199099360094069,0.21100496361274235
Regressão Logística,0.9391978089766073,0.6201558488087419,0.21170521182359456
Regressão Logística,0.9385163438589011,0.6204071001268184,0.2123754866081947
Regressão Logística,0.9378607162812028,0.6206760199719572,0.21299274394260684
Regressão Logística,0.937272912246025,0.6209864998748206,0.21367728142091774
Regressão Logística,0.9365397720483033,0.6212079340698419,0.21431453817443558
Regressão Logística,0.935887374163106,0.6214794924807192,0.21499681452935118
Regressão Logística,0.9352382059704095,0.621749809980633,0.2156864923880227
Regressão Logística,0.9346439425502298,0.622057280918971,0.21630515084818233
